(0.606483, 0.485546, 14.897780)
(0.603142, 0.485646, 14.669550)
(0.596828, 0.485767, 14.767920)
(0.532851, 0.491380, 15.175580)
(0.456743, 0.498496, 13.196600)
(0.457153, 0.500399, 13.195110)
(0.457890, 0.507715, 13.204670)
(0.459076, 0.510474, 13.229080)
(0.460113, 0.507996, 13.261830)
(0.461282, 0.508309, 13.302070)
(0.459792, 0.507637, 13.269270)
(0.458432, 0.504897, 13.275000)
(0.457909, 0.506916, 13.327360)
(0.457728, 0.509701, 13.343210)
(0.456615, 0.511859, 13.315510)
(0.466112, 0.513987, 13.560250)
(0.528083, 0.513044, 17.818630)
(0.558138, 0.509400, 17.392980)
(0.559870, 0.508338, 17.101840)
(0.560597, 0.508312, 16.599060)
(0.561373, 0.508063, 16.371240)
(0.563387, 0.509738, 16.955180)
(0.566429, 0.507871, 16.675060)
(0.567441, 0.506661, 16.642590)
(0.565793, 0.507097, 16.778150)
(0.561074, 0.507033, 16.826280)
(0.555177, 0.510157, 17.550140)
(0.549466, 0.511211, 17.557040)
(0.546606, 0.511184, 17.192840)
(0.544549, 0.513484, 17.961570)
(0.543858, 0.515868, 18.711220)
(0.545622, 0.513990, 18.142880)
(0.554337, 0.510844, 17.565470)
(0.560754, 0.511980, 17.612550)
(0.561384, 0.511631, 17.574970)
(0.564449, 0.512617, 17.916710)
(0.560384, 0.512313, 18.058450)
(0.556454, 0.510415, 17.627950)
(0.555342, 0.509106, 17.135860)
(0.554240, 0.510661, 16.437750)
(0.000000, 0.000000, 0)
(0.495684, 0.515613, 17.338410)
(0.418940, 0.521734, 12.388860)
(0.398914, 0.520098, 11.879470)
(0.399931, 0.521407, 11.894360)
(0.400274, 0.519970, 11.903970)
(0.400770, 0.519298, 11.961410)
(0.400855, 0.516075, 12.010440)
(0.400784, 0.516309, 12.064720)
(0.397871, 0.519009, 12.021440)
(0.397427, 0.518736, 12.013480)
(0.440368, 0.521232, 13.097990)
(0.471943, 0.523306, 19.055520)
(0.476346, 0.525300, 19.853800)
(0.477728, 0.525646, 19.886220)
(0.477943, 0.524707, 19.781470)
(0.479244, 0.523462, 19.956130)
(0.479730, 0.523933, 20.269480)
(0.479774, 0.522092, 19.763440)
(0.480249, 0.520371, 19.152490)
(0.480662, 0.518990, 18.610170)
(0.480744, 0.519997, 18.867820)
(0.483015, 0.522035, 19.506600)
(0.483950, 0.522234, 19.792960)
(0.487052, 0.521681, 19.759830)
(0.487779, 0.520582, 19.528930)
(0.478807, 0.519378, 19.349790)
(0.445419, 0.519772, 12.972850)
(0.420545, 0.520072, 12.326000)
(0.420555, 0.515963, 12.352150)
