(0.558138, 0.509400, 3.921780)
(0.559870, 0.508338, 14.195150)
(0.560597, 0.508312, 10.815520)
(0.561373, 0.508063, 16.373830)
(0.563387, 0.509738, 8.303083)
(0.566429, 0.507871, 7.412748)
(0.567441, 0.506661, 6.522902)
(0.565793, 0.507097, 21.819400)
(0.561074, 0.507033, 8.845786)
(0.555177, 0.510157, 8.443318)
(0.549466, 0.511211, 15.556150)
(0.546606, 0.511184, 17.192840)
(0.544549, 0.513484, 18.053160)
(0.543858, 0.515868, 19.041750)
(0.545622, 0.513990, 18.142880)
(0.554337, 0.510844, 21.770510)
(0.560754, 0.511980, 17.704300)
(0.561384, 0.511631, 7.531396)
(0.564449, 0.512617, 9.712941)
(0.560384, 0.512313, 17.304530)
(0.556454, 0.510415, 13.757040)
(0.555342, 0.509106, 4.892559)
(0.554240, 0.510661, 12.337380)
(0.000000, 0.000000, 0)
(0.495684, 0.515613, 9.815656)
(0.418940, 0.521734, 15.924920)
(0.398914, 0.520098, 5.518180)
(0.399931, 0.521407, 5.934116)
(0.400274, 0.519970, 2.907180)
(0.400770, 0.519298, 16.239080)
(0.400855, 0.516075, 10.215510)
(0.400784, 0.516309, 9.217042)
(0.397871, 0.519009, 19.940670)
(0.397427, 0.518736, 27.156210)
(0.440368, 0.521232, 6.240664)
(0.471943, 0.523306, 7.857203)
(0.476346, 0.525300, 22.367230)
(0.477728, 0.525646, 4.952013)
(0.477943, 0.524707, 21.938660)
(0.479244, 0.523462, 22.571170)
(0.479730, 0.523933, 27.886780)
(0.479774, 0.522092, 18.384290)
(0.480249, 0.520371, 6.181835)
(0.480662, 0.518990, 5.672987)
(0.480744, 0.519997, 5.614340)
(0.483015, 0.522035, 12.849130)
(0.483950, 0.522234, 17.776100)
(0.487052, 0.521681, 32.573890)
(0.487779, 0.520582, 9.033432)
(0.478807, 0.519378, 10.635860)
(0.445419, 0.519772, 6.132895)
(0.420545, 0.520072, 20.040980)
(0.420555, 0.515963, 5.962776)
(0.420446, 0.515946, 1.133161)
(0.420407, 0.516420, 7.274790)
(0.419336, 0.516494, 22.935880)
(0.418648, 0.516472, 3.534280)
(0.416353, 0.517175, 7.267832)
(0.415510, 0.521024, 7.931491)
(0.415241, 0.521990, 5.187220)
(0.468764, 0.517271, 13.861070)
(0.489666, 0.513593, 6.154879)
(0.491753, 0.511482, 20.653230)
(0.491879, 0.509226, 13.310900)
(0.490472, 0.507539, 16.698730)
(0.490526, 0.509215, 17.074590)
(0.491060, 0.512648, 6.237591)
(0.491077, 0.511435, 11.524320)
(0.491366, 0.509157, 25.173660)
(0.492229, 0.506973, 9.851015)
(0.493901, 0.508147, 11.448330)
(0.495304, 0.509059, 22.262090)
(0.521931, 0.507801, 14.335770)
(0.540836, 0.505523, 20.959790)
(0.545649, 0.502033, 15.360950)
(0.546476, 0.501816, 6.424874)
(0.547816, 0.499317, 15.780650)
(0.547997, 0.498030, 16.169040)
